City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,quelimane,-17.8786,36.8883,82.35,78,40,6.91,MZ,1675621320
219,saint-pierre,-21.3393,55.4781,80.28,78,20,2.3,RE,1675621320
220,sultepec,18.8667,-99.95,68.67,23,0,5.53,MX,1675621320
221,beni,0.5,29.4667,70.5,43,84,3.11,CD,1675621321
222,huarmey,-10.0681,-78.1522,77.11,71,71,8.19,PE,1675621321
223,nemuro,43.3236,145.575,23.95,83,21,10.6,JP,1675621322
224,ambon,-3.6954,128.1814,75.34,94,75,2.3,ID,1675621300
225,mersing,2.4312,103.8405,75.11,94,40,6.91,MY,1675621051
226,oksovskiy,62.6062,39.8984,1.11,100,70,4.94,RU,1675621322
227,qandala,11.472,49.8728,74.32,75,56,5.84,SO,1675621323
228,yuxia,34.0615,108.6291,36.82,57,37,2.28,CN,1675621323
229,avera,33.194,-82.5271,62.38,61,100,3.33,US,1675621323
230,manggar,-2.8833,108.2667,77.77,87,100,4.79,ID,1675621324
231,san patricio,28.017,-97.5169,76.86,64,0,5.59,US,1675621324
232,taoudenni,22.6783,-3.9836,70.25,17,46,10.0,ML,1675621325
233,shieli,44.1667,66.75,33.01,75,17,6.51,KZ,1675621325
234,sal rei,16.1833,-22.9167,73.6,53,75,17.27,CV,1675621326
235,whitehorse,60.7161,-135.0538,1.81,76,75,5.01,CA,1675621326
236,bowling green,36.9903,-86.4436,55.15,48,100,16.11,US,1675621158
237,loa janan,-0.583,117.095,73.29,99,77,1.79,ID,1675621327
238,kavaratti,10.5669,72.642,80.92,74,6,8.1,IN,1675621310
239,honningsvag,70.9821,25.9704,28.15,86,100,23.02,NO,1675621327
240,marsa matruh,31.3525,27.2453,57.99,60,67,26.98,EG,1675621328
241,bambous virieux,-20.3428,57.7575,80.22,89,20,3.44,MU,1675621328
242,sibolga,1.7427,98.7792,75.42,93,100,2.84,ID,1675621328
243,nabire,-3.3667,135.4833,75.49,94,100,1.99,ID,1675621329
244,irbit,57.6705,63.071,4.48,99,99,2.46,RU,1675621329
245,coihaique,-45.5752,-72.0662,71.55,35,20,8.05,CL,1675621103
246,verkhnevilyuysk,63.4453,120.3167,-53.18,100,69,3.33,RU,1675621174
247,deqing,30.5448,119.9599,47.12,98,100,2.21,CN,1675621330
248,changli,39.7042,119.1506,30.87,48,16,9.31,CN,1675621330
249,vung tau,10.346,107.0843,77.02,80,4,17.92,VN,1675621331
250,venice,27.0998,-82.4543,83.26,78,40,11.5,US,1675621331
251,christchurch,-43.5333,172.6333,68.2,46,1,6.91,NZ,1675621305
252,atasu,48.6814,71.6433,20.05,96,99,6.06,KZ,1675621174
253,kisangani,0.5167,25.2,79.12,49,40,3.24,CD,1675621094
254,yamada,39.4667,141.95,29.1,81,21,5.99,JP,1675621332
255,saint-philippe,-21.3585,55.7679,80.19,86,89,9.95,RE,1675621332
256,jardim,-21.4803,-56.1381,81.73,64,41,3.42,BR,1675621079
257,amarante do maranhao,-5.5667,-46.7422,87.64,56,61,6.29,BR,1675621186
258,vila velha,-20.3297,-40.2925,87.75,75,20,16.11,BR,1675621333
259,chinhoyi,-17.3667,30.2,66.13,93,90,1.61,ZW,1675621333
260,sept-iles,50.2001,-66.3821,5.05,84,100,3.44,CA,1675621322
261,vila franca do campo,37.7167,-25.4333,61.21,78,1,6.87,PT,1675621334
262,yellowknife,62.456,-114.3525,-14.28,76,100,9.22,CA,1675621254
